name,serving_size,serving_unit,protein_g,fat_g,carbs_g,calories,category
100 Proof Liquor,100.0,g,0.0,0.0,0.0,295.0,Beverages
5th Avenue Candy Bar,100.0,g,8.8,24.0,62.7,482.0,Sweets
86 Proof Liquor,100.0,g,0.0,0.0,0.1,250.0,Beverages
90 Proof Liquor,100.0,g,0.0,0.0,0.0,263.0,Beverages
94 Proof Liquor,100.0,g,0.0,0.0,0.0,275.0,Beverages
Abalone (Cooked),100.0,g,19.6,6.8,11.1,189.0,Fish
Abalone Cooked Ns As To Cooking Method,100.0,g,20.4,4.5,7.3,157.0,Fish
Abalone Floured Or Breaded Fried,100.0,g,18.2,11.4,15.5,242.0,Fish
Abalone Steamed Or Poached,100.0,g,34.0,1.5,12.0,209.0,Fish
Abbott Eas Soy Protein Powder,100.0,g,47.6,3.6,43.9,405.0,Beverages
Abbott Eas Whey Protein Powder,100.0,g,66.7,5.1,17.9,385.0,Beverages
Abbott Ensure Nutritional Shake Ready-To-Drink,100.0,g,3.8,2.5,16.9,105.0,Beverages
Abbott Ensure Plus Ready-To-Drink,100.0,g,5.2,4.5,19.9,141.0,Beverages
Abiyuch,100.0,g,1.5,0.1,17.6,69.0,Fruits
Acai Berry Drink Fortified,100.0,g,0.8,0.8,12.8,62.0,Beverages
Acerola Cherries (West Indian Cherry),100.0,g,0.4,0.3,7.7,32.0,Fruits
Acerola Juice Raw,100.0,g,0.4,0.3,4.8,23.0,Fruits
Acorn Squash,100.0,g,0.8,0.1,10.4,40.0,Vegetables
Acorn Stew (Apache),100.0,g,6.8,3.5,9.2,95.0,American Indian
Acorns (Dried),100.0,g,8.1,31.4,53.7,509.0,Nuts and Seeds
Adobo With Noodles,100.0,g,17.5,7.1,8.2,172.0,Meats
Adobo With Rice,100.0,g,18.3,7.4,8.9,181.0,Meats
Adzuki Beans,100.0,g,7.5,0.1,24.8,128.0,Beans and Lentils
Agave Cooked (Southwest),100.0,g,1.0,0.3,32.0,135.0,American Indian
Agave Dried (Southwest),100.0,g,1.7,0.7,82.0,341.0,American Indian
Agave Raw (Southwest),100.0,g,0.5,0.1,16.2,68.0,American Indian
Agutuk Fish With Shortening (Alaskan Ice Cream) (Alaska Native),100.0,g,9.0,43.5,10.5,470.0,American Indian
Agutuk Fish/berry With Seal Oil (Alaskan Ice Cream) (Alaska Native),100.0,g,3.4,31.8,13.4,353.0,American Indian
Agutuk Meat-Caribou (Alaskan Ice Cream) (Alaska Native),100.0,g,21.7,18.6,0.9,258.0,American Indian
Air Filled Fritter Or Fried Puff Without Syrup Puerto Rican Style,100.0,g,6.5,23.6,50.3,436.0,Baked Foods
Alaskan King Crab,100.0,g,19.4,1.5,0.0,97.0,Fish
Alcoholic Beverage Beer Light Budweiser Select,100.0,g,0.2,0.0,0.9,28.0,Beverages
Alcoholic Beverage Beer Light Higher Alcohol,100.0,g,0.2,0.0,0.8,46.0,Beverages
Alcoholic Beverage Beer Light Low Carb,100.0,g,0.2,0.0,0.7,27.0,Beverages
Alcoholic Beverage Creme De Menthe 72 Proof,100.0,g,0.0,0.3,41.6,371.0,Beverages
Alcoholic Beverage Daiquiri Prepared-From-Recipe,100.0,g,0.1,0.1,6.9,186.0,Beverages
Alcoholic Beverage Distilled All (Gin Rum Vodka Whiskey) 80 Proof,100.0,g,0.0,0.0,0.0,231.0,Beverages
Alcoholic Beverage Liqueur Coffee 63 Proof,100.0,g,0.1,0.3,32.2,308.0,Beverages
Alcoholic Beverage Malt Beer Hard Lemonade,100.0,g,0.0,0.0,10.1,68.0,Beverages
Alcoholic Beverage Pina Colada Canned,100.0,g,0.6,7.6,27.6,237.0,Beverages
Alcoholic Beverage Pina Colada Prepared-From-Recipe,100.0,g,0.4,1.9,22.7,174.0,Beverages
Alcoholic Beverage Rice (Sake),100.0,g,0.5,0.0,5.0,134.0,Beverages
Alcoholic Beverage Whiskey Sour,100.0,g,0.0,0.0,13.2,149.0,Beverages
Alcoholic Beverage Whiskey Sour Canned,100.0,g,0.0,0.0,13.4,119.0,Beverages
Alcoholic Beverage Whiskey Sour Prepared From Item 14028,100.0,g,0.1,0.1,12.8,153.0,Beverages
Alcoholic Beverage Whiskey Sour Prepared With Water Whiskey And Powder Mix,100.0,g,0.1,0.0,15.8,164.0,Beverages
